Sample Name,SYN-HER001,SYN-HER002,SYN-HER003,SYN-HER004,SYN-HER005,SYN-HER006,SYN-HER007,SYN-HER008,SYN-HER009,SYN-HER010,SYN-COC011,SYN-COC012,SYN-COC013,SYN-COC014,SYN-COC015,SYN-COC016,SYN-COC017,SYN-COC018,SYN-COC019,SYN-COC020,SYN-MDM021,SYN-MDM022,SYN-MDM023,SYN-MDM024,SYN-MDM025,SYN-MDM026,SYN-MDM027,SYN-MDM028,SYN-MDM029,SYN-MDM030,SYN-KET031,SYN-KET032,SYN-KET033,SYN-KET034,SYN-KET035,SYN-KET036,SYN-KET037,SYN-KET038,SYN-KET039,SYN-KET040
SYN-HER001,1.0,0.890886,0.900453,0.822699,0.899993,0.935735,0.936476,0.782603,0.935066,0.84984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER002,0.890886,1.0,0.781963,0.95005,0.986301,0.949405,0.894265,0.91842,0.971808,0.988213,0.001757,0.0,0.0,0.00901,0.013016,0.013833,0.007528,0.0,0.001331,0.004459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER003,0.900453,0.781963,1.0,0.742582,0.842794,0.932624,0.976898,0.706391,0.75664,0.767081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER004,0.822699,0.95005,0.742582,1.0,0.958455,0.901592,0.849228,0.843791,0.903814,0.971252,0.012414,0.0,0.0,0.06367,0.091984,0.097752,0.053197,0.0,0.009407,0.031511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER005,0.899993,0.986301,0.842794,0.958455,1.0,0.977489,0.936724,0.887758,0.950909,0.976297,0.00277,0.0,0.0,0.014209,0.020528,0.021815,0.011872,0.0,0.002099,0.007032,0.005896,0.020978,0.0,0.0,0.007289,0.0,0.015528,0.001192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER006,0.935735,0.949405,0.932624,0.901592,0.977489,1.0,0.988194,0.857651,0.91866,0.931336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER007,0.936476,0.894265,0.976898,0.849228,0.936724,0.988194,1.0,0.80784,0.865305,0.877245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER008,0.782603,0.91842,0.706391,0.843791,0.887758,0.857651,0.80784,1.0,0.859765,0.922996,0.0,0.0,0.047843,0.0,0.0,0.0,0.0,0.0,0.0,0.044172,0.0,0.0,0.0,0.028985,0.0,0.0,0.0,0.01498,0.022912,0.02097,0.0,0.03734,0.006736,0.072101,0.043929,0.0,0.05,0.0,0.020322,0.077296
SYN-HER009,0.935066,0.971808,0.75664,0.903814,0.950909,0.91866,0.865305,0.859765,1.0,0.933632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER010,0.84984,0.988213,0.767081,0.971252,0.976297,0.931336,0.877245,0.922996,0.933632,1.0,0.00604,0.0,0.0,0.030977,0.044752,0.047558,0.025882,0.0,0.004577,0.015331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC011,0.0,0.001757,0.0,0.012414,0.00277,0.0,0.0,0.0,0.0,0.00604,1.0,0.82439,0.983433,0.976165,0.927609,0.933841,0.988347,0.99206,0.999708,0.980132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82439,1.0,0.78543,0.880636,0.732773,0.900905,0.784686,0.842406,0.817925,0.768966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047843,0.0,0.0,0.983433,0.78543,1.0,0.952209,0.911314,0.900872,0.975876,0.980472,0.985522,0.977745,0.0,0.0,0.0,0.014055,0.0,0.0,0.0,0.007264,0.01111,0.010169,0.0,0.018106,0.003266,0.034962,0.021301,0.0,0.024245,0.0,0.009854,0.037481
SYN-COC014,0.0,0.00901,0.0,0.06367,0.014209,0.0,0.0,0.0,0.0,0.030977,0.976165,0.880636,0.952209,1.0,0.94021,0.988369,0.981287,0.972647,0.973965,0.950009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC015,0.0,0.013016,0.0,0.091984,0.020528,0.0,0.0,0.0,0.0,0.044752,0.927609,0.732773,0.911314,0.94021,1.0,0.920063,0.953763,0.939096,0.92711,0.917868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC016,0.0,0.013833,0.0,0.097752,0.021815,0.0,0.0,0.0,0.0,0.047558,0.933841,0.900905,0.900872,0.988369,0.920063,1.0,0.946046,0.930142,0.929264,0.909253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC017,0.0,0.007528,0.0,0.053197,0.011872,0.0,0.0,0.0,0.0,0.025882,0.988347,0.784686,0.975876,0.981287,0.953763,0.946046,1.0,0.979544,0.989018,0.970258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99206,0.842406,0.980472,0.972647,0.939096,0.930142,0.979544,1.0,0.992963,0.959921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC019,0.0,0.001331,0.0,0.009407,0.002099,0.0,0.0,0.0,0.0,0.004577,0.999708,0.817925,0.985522,0.973965,0.92711,0.929264,0.989018,0.992963,1.0,0.977984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC020,0.0,0.004459,0.0,0.031511,0.007032,0.0,0.0,0.044172,0.0,0.015331,0.980132,0.768966,0.977745,0.950009,0.917868,0.909253,0.970258,0.959921,0.977984,1.0,0.0,0.0,0.0,0.012976,0.0,0.0,0.0,0.006707,0.010257,0.009388,0.0,0.016717,0.003016,0.032278,0.019666,0.0,0.022384,0.0,0.009098,0.034604
SYN-MDM021,0.0,0.0,0.0,0.0,0.005896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.910265,0.976326,0.961928,0.970874,0.963,0.961775,0.95546,0.96042,0.970305,0.328478,0.225454,0.040673,0.16325,0.088411,0.0,0.301891,0.0,0.0,0.0
SYN-MDM022,0.0,0.0,0.0,0.0,0.020978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.910265,1.0,0.889205,0.899996,0.949407,0.881204,0.945807,0.915889,0.902916,0.901217,0.314441,0.21582,0.038935,0.156274,0.084634,0.0,0.288991,0.0,0.0,0.0
SYN-MDM023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976326,0.889205,1.0,0.989746,0.958527,0.950906,0.942515,0.97754,0.989008,0.990407,0.339313,0.232891,0.042015,0.168635,0.091328,0.0,0.31185,0.0,0.0,0.0
SYN-MDM024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028985,0.0,0.0,0.0,0.0,0.014055,0.0,0.0,0.0,0.0,0.0,0.0,0.012976,0.961928,0.899996,0.989746,1.0,0.970159,0.962446,0.919388,0.993804,0.999621,0.998678,0.343431,0.246687,0.044503,0.191862,0.105341,0.0,0.330322,0.0,0.00597,0.022707
SYN-MDM025,0.0,0.0,0.0,0.0,0.007289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.970874,0.949407,0.958527,0.970159,1.0,0.984897,0.924383,0.985196,0.973306,0.977962,0.338955,0.232645,0.04197,0.168457,0.091231,0.0,0.31152,0.0,0.0,0.0
SYN-MDM026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.881204,0.950906,0.962446,0.984897,1.0,0.872135,0.977332,0.965568,0.974437,0.33626,0.230796,0.041636,0.167118,0.090506,0.0,0.309043,0.0,0.0,0.0
SYN-MDM027,0.0,0.0,0.0,0.0,0.015528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961775,0.945807,0.942515,0.919388,0.924383,0.872135,1.0,0.903968,0.916275,0.919583,0.311205,0.213599,0.038534,0.154666,0.083763,0.0,0.286017,0.0,0.0,0.0
SYN-MDM028,0.0,0.0,0.0,0.0,0.001192,0.0,0.0,0.01498,0.0,0.0,0.0,0.0,0.007264,0.0,0.0,0.0,0.0,0.0,0.0,0.006707,0.95546,0.915889,0.97754,0.993804,0.985196,0.977332,0.903968,1.0,0.996091,0.995521,0.345678,0.24293,0.043825,0.182746,0.099711,0.0,0.325291,0.0,0.003085,0.011736
SYN-MDM029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022912,0.0,0.0,0.0,0.0,0.01111,0.0,0.0,0.0,0.0,0.0,0.0,0.010257,0.96042,0.902916,0.989008,0.999621,0.973306,0.965568,0.916275,0.996091,1.0,0.99886,0.344545,0.245154,0.044227,0.187978,0.102937,0.0,0.328269,0.0,0.004719,0.01795
SYN-MDM030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02097,0.0,0.0,0.0,0.0,0.010169,0.0,0.0,0.0,0.0,0.0,0.0,0.009388,0.970305,0.901217,0.990407,0.998678,0.977962,0.974437,0.919583,0.995521,0.99886,1.0,0.343896,0.243974,0.044014,0.186237,0.101898,0.0,0.326689,0.0,0.004319,0.016428
SYN-KET031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328478,0.314441,0.339313,0.343431,0.338955,0.33626,0.311205,0.345678,0.344545,0.343896,1.0,0.97005,0.896339,0.928511,0.940762,0.915505,0.980644,0.927479,0.890547,0.844986
SYN-KET032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03734,0.0,0.0,0.0,0.0,0.018106,0.0,0.0,0.0,0.0,0.0,0.0,0.016717,0.225454,0.21582,0.232891,0.246687,0.232645,0.230796,0.213599,0.24293,0.245154,0.243974,0.97005,1.0,0.964292,0.9897,0.989092,0.883342,0.993148,0.96319,0.962643,0.94751
SYN-KET033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006736,0.0,0.0,0.0,0.0,0.003266,0.0,0.0,0.0,0.0,0.0,0.0,0.003016,0.040673,0.038935,0.042015,0.044503,0.04197,0.041636,0.038534,0.043825,0.044227,0.044014,0.896339,0.964292,1.0,0.965465,0.979358,0.843153,0.926736,0.979832,0.997613,0.97291
SYN-KET034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072101,0.0,0.0,0.0,0.0,0.034962,0.0,0.0,0.0,0.0,0.0,0.0,0.032278,0.16325,0.156274,0.168635,0.191862,0.168457,0.167118,0.154666,0.182746,0.187978,0.186237,0.928511,0.9897,0.965465,1.0,0.99015,0.850591,0.978018,0.952417,0.96934,0.978293
SYN-KET035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043929,0.0,0.0,0.0,0.0,0.021301,0.0,0.0,0.0,0.0,0.0,0.0,0.019666,0.088411,0.084634,0.091328,0.105341,0.091231,0.090506,0.083763,0.099711,0.102937,0.101898,0.940762,0.989092,0.979358,0.99015,1.0,0.904946,0.971026,0.985086,0.985028,0.972626
SYN-KET036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915505,0.883342,0.843153,0.850591,0.904946,1.0,0.881104,0.932177,0.859381,0.801008
SYN-KET037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.024245,0.0,0.0,0.0,0.0,0.0,0.0,0.022384,0.301891,0.288991,0.31185,0.330322,0.31152,0.309043,0.286017,0.325291,0.328269,0.326689,0.980644,0.993148,0.926736,0.978018,0.971026,0.881104,1.0,0.934071,0.92545,0.914882
SYN-KET038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927479,0.96319,0.979832,0.952417,0.985086,0.932177,0.934071,1.0,0.984713,0.944241
SYN-KET039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020322,0.0,0.0,0.0,0.0,0.009854,0.0,0.0,0.0,0.0,0.0,0.0,0.009098,0.0,0.0,0.0,0.00597,0.0,0.0,0.0,0.003085,0.004719,0.004319,0.890547,0.962643,0.997613,0.96934,0.985028,0.859381,0.92545,0.984713,1.0,0.981105
SYN-KET040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077296,0.0,0.0,0.0,0.0,0.037481,0.0,0.0,0.0,0.0,0.0,0.0,0.034604,0.0,0.0,0.0,0.022707,0.0,0.0,0.0,0.011736,0.01795,0.016428,0.844986,0.94751,0.97291,0.978293,0.972626,0.801008,0.914882,0.944241,0.981105,1.0
