Sample Name,SYN-HER001,SYN-HER002,SYN-HER003,SYN-HER004,SYN-HER005,SYN-HER006,SYN-HER007,SYN-HER008,SYN-HER009,SYN-HER010,SYN-COC011,SYN-COC012,SYN-COC013,SYN-COC014,SYN-COC015,SYN-COC016,SYN-COC017,SYN-COC018,SYN-COC019,SYN-COC020,SYN-MDM021,SYN-MDM022,SYN-MDM023,SYN-MDM024,SYN-MDM025,SYN-MDM026,SYN-MDM027,SYN-MDM028,SYN-MDM029,SYN-MDM030,SYN-KET031,SYN-KET032,SYN-KET033,SYN-KET034,SYN-KET035,SYN-KET036,SYN-KET037,SYN-KET038,SYN-KET039,SYN-KET040
SYN-HER001,1.0,0.719739,0.763418,0.692112,0.728775,0.766997,0.787368,0.700448,0.764917,0.711412,0.482377,0.510576,0.479482,0.504466,0.516965,0.519073,0.480196,0.48359,0.476946,0.50936,0.517807,0.502837,0.485035,0.484399,0.496321,0.489007,0.521332,0.474297,0.479469,0.486686,0.525029,0.518121,0.47272,0.516795,0.509163,0.509359,0.529269,0.487583,0.477253,0.489582
SYN-HER002,0.719739,1.0,0.657513,0.794353,0.879606,0.793097,0.729268,0.743688,0.836448,0.879852,0.455683,0.477565,0.453144,0.473979,0.48404,0.485733,0.454652,0.456435,0.451267,0.477183,0.483074,0.471594,0.457588,0.457081,0.466511,0.460745,0.485736,0.448963,0.453133,0.458902,0.488511,0.483312,0.447686,0.482307,0.47648,0.47663,0.49167,0.459616,0.45135,0.461201
SYN-HER003,0.763418,0.657513,1.0,0.649219,0.692964,0.774169,0.861023,0.654898,0.650687,0.662924,0.472215,0.497943,0.469549,0.492406,0.503707,0.505604,0.470207,0.47333,0.467211,0.496842,0.504465,0.490927,0.474659,0.474075,0.484992,0.478303,0.507633,0.464764,0.469537,0.476174,0.510946,0.504747,0.463306,0.503554,0.496664,0.496841,0.514736,0.476998,0.467493,0.47883
SYN-HER004,0.692112,0.794353,0.649219,1.0,0.809939,0.739606,0.70331,0.70424,0.741243,0.84281,0.463745,0.485694,0.459744,0.488875,0.502845,0.505312,0.467105,0.463225,0.45875,0.488682,0.49159,0.479324,0.464446,0.463909,0.473914,0.467791,0.494444,0.455328,0.459732,0.465838,0.497423,0.491845,0.45398,0.490768,0.484536,0.484696,0.500821,0.466594,0.457848,0.468275
SYN-HER005,0.728775,0.879606,0.692964,0.809939,1.0,0.852131,0.776004,0.72164,0.796413,0.846629,0.456803,0.47876,0.454119,0.475782,0.486224,0.48799,0.456175,0.457437,0.45232,0.47869,0.485049,0.475365,0.4586,0.458089,0.468511,0.461784,0.488921,0.45005,0.454108,0.459926,0.489818,0.484565,0.448616,0.48355,0.477664,0.477816,0.493011,0.460645,0.45231,0.462244
SYN-HER006,0.766997,0.793097,0.774169,0.739606,0.852131,1.0,0.884721,0.707312,0.755093,0.773398,0.459354,0.48225,0.456957,0.477362,0.487315,0.488976,0.457548,0.460356,0.454849,0.48128,0.487979,0.476052,0.461548,0.461024,0.470782,0.464813,0.49075,0.452641,0.456945,0.462907,0.493641,0.488227,0.451324,0.487181,0.481123,0.481279,0.496936,0.463645,0.455104,0.465284
SYN-HER007,0.787368,0.729268,0.861023,0.70331,0.776004,0.884721,1.0,0.69219,0.710572,0.726339,0.466921,0.491445,0.464369,0.486185,0.49691,0.498706,0.464998,0.467988,0.462128,0.490401,0.497628,0.484778,0.469259,0.4687,0.479127,0.472743,0.500625,0.459781,0.464357,0.470708,0.503757,0.497895,0.458383,0.496765,0.490231,0.4904,0.507334,0.471496,0.462399,0.473246
SYN-HER008,0.700448,0.743688,0.654898,0.70424,0.72164,0.707312,0.69219,1.0,0.707612,0.768706,0.480166,0.507808,0.483186,0.501827,0.514055,0.516115,0.478023,0.481356,0.47483,0.512238,0.514877,0.500232,0.482776,0.485702,0.493847,0.486674,0.518321,0.474013,0.480082,0.486965,0.521931,0.519933,0.471474,0.523223,0.512013,0.506617,0.532445,0.485277,0.477577,0.497028
SYN-HER009,0.764917,0.836448,0.650687,0.741243,0.796413,0.755093,0.710572,0.707612,1.0,0.775681,0.458836,0.481624,0.456449,0.47676,0.486663,0.488315,0.457038,0.459833,0.45435,0.48066,0.487324,0.475457,0.461021,0.460499,0.470212,0.464271,0.49008,0.452151,0.456438,0.462373,0.492955,0.48757,0.450839,0.48653,0.480503,0.480659,0.496232,0.463108,0.454604,0.46474
SYN-HER010,0.711412,0.879852,0.662924,0.84281,0.846629,0.773398,0.726339,0.768706,0.775681,1.0,0.46485,0.488006,0.461607,0.486816,0.498998,0.501094,0.465457,0.465144,0.459981,0.488916,0.494016,0.481518,0.466385,0.465839,0.476012,0.469785,0.496927,0.457123,0.461596,0.4678,0.499966,0.494275,0.455755,0.493178,0.486826,0.486989,0.503435,0.468568,0.459682,0.470276
