Sample Name,6-MAM,Acetylcodeine,Amphetamine,Benzoic acid,Caffeine,Cocaine,Heroin,Ketamine,Levamisole,Lidocaine,MDMA,Mephedrone,Norketamine,Noscapine,Paracetamol,Phenacetin
SYN-HER001,0.0,0.2203730102838066,0.0,0.0,0.0,0.0,0.5592539794323867,0.0,0.0,0.0,0.0,0.0,0.0,0.2203730102838066,0.0,0.0
SYN-HER002,0.07889140033747355,0.0,0.0,0.0,0.0,0.0,0.8224943492406845,0.0,0.0,0.0,0.0,0.0,0.0,0.059168550253105155,0.0,0.039445700168736775
SYN-HER003,0.0,0.43824040859174007,0.0,0.0,0.0,0.0,0.5617595914082599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER004,0.0,0.0,0.0,0.0,0.0,0.0,0.7369814565982441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26301854340175596
SYN-HER005,0.0,0.08225455254164923,0.0,0.0,0.0,0.0,0.8149272567812892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04112727627082463,0.06169091440623693
SYN-HER006,0.0,0.23197169696591374,0.0,0.0,0.0,0.0,0.7680283030340863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER007,0.0,0.3241073088883431,0.0,0.0,0.0,0.0,0.675892691111657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER008,0.206091098843828,0.0,0.0,0.0,0.206091098843828,0.0,0.587817802312344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-HER009,0.0,0.0,0.0,0.0,0.0,0.0,0.7733786316057497,0.0,0.0,0.0,0.0,0.0,0.0,0.22662136839425032,0.0,0.0
SYN-HER010,0.12579780308088032,0.0,0.0,0.0,0.0,0.0,0.7484043938382393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12579780308088032
SYN-COC011,0.0,0.0,0.0,0.0636090107672853,0.0,0.856879725773608,0.0,0.0,0.0,0.04770675807546396,0.0,0.0,0.0,0.0,0.0,0.03180450538364264
SYN-COC012,0.0,0.0,0.0,0.0,0.0,0.566955021952595,0.0,0.0,0.0,0.433044978047405,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC013,0.0,0.0,0.0,0.0,0.13353244322439564,0.8664675567756044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC014,0.0,0.0,0.0,0.0,0.0,0.7177618118763212,0.0,0.0,0.0,0.1411190940618394,0.0,0.0,0.0,0.0,0.0,0.1411190940618394
SYN-COC015,0.0,0.0,0.0,0.0,0.0,0.6275176013854504,0.0,0.0,0.18624119930727479,0.0,0.0,0.0,0.0,0.0,0.0,0.18624119930727479
SYN-COC016,0.0,0.0,0.0,0.0,0.0,0.6104589226919135,0.0,0.0,0.0,0.19477053865404326,0.0,0.0,0.0,0.0,0.0,0.19477053865404326
SYN-COC017,0.0,0.0,0.0,0.0,0.0,0.8618552104702296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1381447895297704
SYN-COC018,0.0,0.0,0.0,0.0,0.0,0.8478669462853493,0.0,0.0,0.07606652685732535,0.07606652685732535,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC019,0.0,0.0,0.0,0.04983983735615482,0.0,0.8878603659486517,0.0,0.0,0.0,0.03737987801711611,0.0,0.0,0.0,0.0,0.0,0.02491991867807741
SYN-COC020,0.0,0.0,0.0,0.13494053182557966,0.10120539886918474,0.6963838033924458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06747026591278985
SYN-MDM021,0.0,0.0,0.15944347651254492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6412521778467739,0.1195826073844087,0.0,0.0,0.07972173825627248,0.0
SYN-MDM022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6839386841740361,0.0,0.0,0.0,0.3160613158259639,0.0
SYN-MDM023,0.0,0.0,0.17036060171251705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8296393982874829,0.0,0.0,0.0,0.0,0.0
SYN-MDM024,0.0,0.0,0.07846531759285164,0.0,0.07846531759285164,0.0,0.0,0.0,0.0,0.0,0.8430693648142967,0.0,0.0,0.0,0.0,0.0
SYN-MDM025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7704787184936174,0.1147606407531913,0.0,0.0,0.1147606407531913,0.0
SYN-MDM026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017048617949117,0.19829513820508823,0.0,0.0,0.0,0.0
SYN-MDM027,0.0,0.0,0.20436284788476286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912743042304743,0.0,0.0,0.0,0.20436284788476286,0.0
SYN-MDM028,0.0,0.0,0.0,0.0,0.04315026969653351,0.0,0.0,0.0,0.0,0.0,0.9029118931827996,0.03236270227240013,0.0,0.0,0.02157513484826675,0.0
SYN-MDM029,0.0,0.0,0.06395406458019813,0.0,0.06395406458019813,0.0,0.0,0.0,0.0,0.0,0.8720918708396037,0.0,0.0,0.0,0.0,0.0
SYN-MDM030,0.0,0.0,0.07460933509875291,0.0,0.05595700132406468,0.0,0.0,0.0,0.0,0.0,0.832128996027806,0.03730466754937646,0.0,0.0,0.0,0.0
SYN-KET031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5572063946827579,0.0,0.0,0.22139680265862105,0.0,0.22139680265862105,0.0,0.0,0.0
SYN-KET032,0.0,0.0,0.0,0.0,0.08019500239878305,0.0,0.0,0.6391224892054762,0.0,0.0,0.1603900047975661,0.0,0.12029250359817459,0.0,0.0,0.0
SYN-KET033,0.0,0.0,0.0,0.0,0.019587941630974732,0.0,0.0,0.9118542626606136,0.0,0.0,0.03917588326194946,0.0,0.029381912446462103,0.0,0.0,0.0
SYN-KET034,0.0,0.0,0.0,0.0,0.15641290990763476,0.0,0.0,0.6480709527078219,0.0,0.0,0.11730968243072605,0.0,0.07820645495381737,0.0,0.0,0.0
SYN-KET035,0.0,0.0,0.0,0.0,0.10079094966698372,0.0,0.0,0.6976271509990488,0.0,0.0,0.06719396644465583,0.0,0.13438793288931167,0.0,0.0,0.0
SYN-KET036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5947715524712582,0.0,0.0,0.0,0.0,0.4052284475287417,0.0,0.0,0.0
SYN-KET037,0.0,0.0,0.0,0.0,0.09827051639941961,0.0,0.0,0.5577826762026118,0.0,0.0,0.1965410327988392,0.0,0.1474057745991294,0.0,0.0,0.0
SYN-KET038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811901150222928,0.0,0.0,0.0,0.0,0.188098849777072,0.0,0.0,0.0
SYN-KET039,0.0,0.0,0.0,0.0,0.05749729759386632,0.0,0.0,0.8850054048122673,0.0,0.0,0.0,0.0,0.05749729759386632,0.0,0.0,0.0
SYN-KET040,0.0,0.0,0.0,0.0,0.20247822203037613,0.0,0.0,0.7975217779696239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
