Sample Name,Expected Substance,Year
SYN-HER001,Heroin,2022
SYN-HER002,Heroin,2023
SYN-HER003,Heroin,2025
SYN-HER004,Heroin,2023
SYN-HER005,Heroin,2023
SYN-HER006,Heroin,2025
SYN-HER007,Heroin,2025
SYN-HER008,Heroin,2024
SYN-HER009,Heroin,2024
SYN-HER010,Heroin,2025
SYN-COC011,Cocaine,2024
SYN-COC012,Cocaine,2022
SYN-COC013,Cocaine,2022
SYN-COC014,Cocaine,2024
SYN-COC015,Cocaine,2024
SYN-COC016,Cocaine,2023
SYN-COC017,Cocaine,2024
SYN-COC018,Cocaine,2022
SYN-COC019,Cocaine,2023
SYN-COC020,Cocaine,2025
SYN-MDM021,MDMA,2023
SYN-MDM022,MDMA,2025
SYN-MDM023,MDMA,2022
SYN-MDM024,MDMA,2023
SYN-MDM025,MDMA,2025
SYN-MDM026,MDMA,2022
SYN-MDM027,MDMA,2024
SYN-MDM028,MDMA,2022
SYN-MDM029,MDMA,2022
SYN-MDM030,MDMA,2024
SYN-KET031,Ketamine,2025
SYN-KET032,Ketamine,2022
SYN-KET033,Ketamine,2022
SYN-KET034,Ketamine,2023
SYN-KET035,Ketamine,2024
SYN-KET036,Ketamine,2025
SYN-KET037,Ketamine,2024
SYN-KET038,Ketamine,2022
SYN-KET039,Ketamine,2022
SYN-KET040,Ketamine,2024
